record_id,month,region,product_family,forecast_demand_units,actual_demand_units,beginning_inventory_units,planned_supply_receipts_units,units_fulfilled,ending_inventory_units
452,2026-03,Northern Europe,CONTROL UNITS,158,158,46,111,150,7
453,2026-03,Northern Europe,POWER MODULES,173,171,40,119,154,5
454,2026-03,Northern Europe,SAFETY COMPONENTS,123,117,38,83,114,7
455,2026-03,Northern Europe,COMMUNICATION MODULES,156,173,60,103,155,8
456,2026-04,Northern Europe,Industrial Sensors,162,151,38,130,144,24
457,2026-04,Northern Europe,Control Units,145,153,59,108,144,23
458,2026-04,Northern Europe,Power Modules,167,135,36,101,121,16
459,2026-04,Northern Europe,Safety Components,104,101,24,83,96,11
460,2026-04,Northern Europe,Communication Modules,150,155,63,96,145,14
461,2026-05,Northern Europe,Industrial Sensors,184,189,74,136,183,27
462,2026-05,Northern Europe,Control Units,131,140,59,89,136,12
463,2026-05,Northern Europe,Power Modules,149,151,55,114,149,20
464,2026-05,Northern Europe,Safety Components,112,110,42,82,109,15
465,2026-05,Northern Europe,Communication Modules,152,158,35,120,148,7
466,2026-06,Northern Europe,industrial sensors,232,231,96,149,221,24
467,2026-06,Northern Europe,control units,129,122,32,103,110,25
468,2026-06,Northern Europe,power modules,162,163,33,135,149,19
469,2026-06,Northern Europe,safety components,137,134,42,90,120,12
470,2026-06,Northern Europe,communication modules,150,148,27,134,136,25
471,2026-07,Northern Europe,Industrial Sensors,246,248,91,166,225,32
472,2026-07,Northern Europe,Control Units,148,130,35,105,128,12
473,2026-07,Northern Europe,Power Modules,180,182,76,115,174,17
474,2026-07,Northern Europe,Safety Components,119,117,45,75,107,13
475,2026-07,Northern Europe,Communication Modules,141,141,38,106,138,6
476,2026-08,Northern Europe,Industrial Sensors,207,180,53,122,159,16
477,2026-08,Northern Europe,Control Units,158,154,31,121,140,12
478,2026-08,Northern Europe,Power Modules,157,152,59,82,134,7
479,2026-08,Northern Europe,Safety Components,122,130,31,112,124,19
480,2026-08,Northern Europe,Communication Modules,146,119,37,93,116,14
481,2026-01,Americas,Industrial Sensors,271,264,91,217,259,49
482,2026-01,Americas,Control Units,155,151,56,95,136,15
483,2026-01,Americas,Power Modules,189,207,42,181,192,31
484,2026-01,Americas,Safety Components,137,138,58,83,135,6
485,2026-01,Americas,Communication Modules,151,151,54,104,141,17
486,2026-02,Americas,Industrial Sensors,240,265,102,178,234,46
487,2026-02,Americas,Control Units,163,157,64,94,143,15
488,2026-02,Americas,Power Modules,195,212,73,174,209,38
489,2026-02,Americas,Safety Components,149,130,29,95,115,9
490,2026-02,Americas,Communication Modules,181,172,61,128,165,24
491,2026-03,Americas,Industrial Sensors ,246,239,47,206,230,23
492,2026-03,Americas,Control Units ,185,172,56,121,172,5
493,2026-03,Americas,Power Modules ,189,194,66,144,183,27
494,2026-03,Americas,Safety Components ,146,146,34,136,145,25
495,2026-03,Americas,Communication Modules ,192,185,46,129,168,7
496,2026-04,Americas,Industrial Sensors,235,245,79,174,224,29
497,2026-04,Americas,Control Units,156,154,54,113,140,27
498,2026-04,Americas,Power Modules,178,171,47,134,165,16
499,2026-04,Americas,Safety Components,144,143,43,87,126,4
500,2026-04,Americas,Communication Modules,213,238,77,180,227,30
